text,predictions
5000 ഉള്ള പോൾ  ലോഗ്‌ഡ്‌വൻ ഇപ്പോള് 250000 എന്താ കാരണം,1
ഓഷോ രജനീഷ്  പറഞ്ഞപോലെ  എനിക്കപ്പോൾ തോന്നിയത് അങ്ങനെയാണ് ..ഇപ്പോൾ തോന്നുന്നത് ഇങ്ങനെയാണ് ...എന്തൊക്കെയോ ആവോ,0
"ചേട്ടാ  വാർത്ത  വയ്ക്കുന്നത്  കേരളത്തിലാണ്  സംഘി ഭരിക്കുന്ന നോർത്ത്  ഇന്ത്യയിലല്ല,ഇവിടെ  ആരോഗ്യ മന്ത്രി  ഷൈലടീച്ചറാണ്",1
Shame for entire Woman&#39;s of Kerala,1
135 code janaghal andhu wide business cheythalum vijayikum in India,0
"Why not all countries club together n block china to the maximum extend, and rename covid 19 as chinese virus? In all such cases when some one work to destroy others,  the nature intervene n contain such negative force.  That is the grace of god, the truth.",0
Ethil appuram നാണക്കേഡ് വന്നിട്ടില്ല cpmne🤣🤣🤣adipoli nalla avatharanam,1
കൊറോണ പോയി ഒന്ന് കൂടെ മെച്ചപ്പെട്ട് ഓമൈക്രോനായി വന്നപ്പോൾ നമ്മുടെ പിണുവിന്റെ നേതൃത്വത്തിൽ ഒരു സീകരണം കൊടുത്തതല്ലേ,1
മോളെ. ഇത് കോമഡി സ്റ്റാർസ് അല്ല. ചിരിച്ചും കളിച്ചും വിശേഷം ചോദിക്കാൻ,1
Marunaadan kandupidutham,0
ഈ പാട്ടിനു ആടിയ ചേച്ചീസിന്റെ തൊലിക്കട്ടി..,1
"നിയമം അവർത്തന്നെ കൊണ്ടുവരും... എന്നിട്ടു അത് അവർ ബാധകം ആകില്ല.... കാരണം, പാർട്ടിക്കാർക്ക് covid വരില്ലയിരിക്കും",1
Corona  virus is a programmed VIRUS  created by  CHINA...,0
ലേശം ഉളുപ്പ്..😁,1
"ഇന്നീ വൈറസ്‌ ലോകമെങ്ങും,  വ്യാപിച്ചീടും കാരണഭൂതം  പിണറായി വിജയനെന്ന  സഖാവുതന്നെ..!",1
പല വസ്തുതകൾ   പഠന വിധേയമാക്കിയിട്ടില്ല . ചൈന  മാത്രം  പെട്ടന്ന് സുരക്ഷിതമായതെങ്ങനെ? എന്ത് കൊണ്ടു  വിവിധ വൈറസ്  വക ഭേദങ്ങൾ  പെട്ടന്ന് ഉണ്ടാകുന്നു.  ഈ പ്രക്രീയ ഇതര വൈറസ്കൾക്ക് ഇത്ര തോതിൽ ഇല്ല. അടിക്കടി വൈറസ് വകഭേദങ്ങൾ ഉണ്ടാകണമെങ്കിൽ  അതിനുള്ള പ്രത്യാക കൃത്രിമ ജീൻ  മാതൃവൈറസിൽ  കയറ്റി വിടാനുള്ള  സാധ്യത.,0
ഒരുത്തൻ കൊലക്കത്തിക്ക് ഇരയായിട്ടു ഒരു ദിവസം കഴിഞ്ഞില്ല അതിനു മുൻപേ തിരുവാതിര കളിക്കാൻ കാണിച്ച ആ മനസുണ്ടല്ലോ.. അതു കാണാതെ പോകരുത്.. 😄😄😄😄😄,1
താത്വിക ആചാര്യന്മാർക്ക് ഒരു കയ്യബദ്ധം... നാറ്റിക്കരുത് 🙏🏼,1
"Finally  ,world will be named and count, based on, before  Corina and after Corona",0
"Bengalikal egane namude nattil ethii ennu manasilakunundallo.. 😀<br>Evaruk oru 5 varsham kude koduthal , subham 🤗",1
പ്രവാസി 😔,1
ഇത് ഉത്പാധിപ്പിച്ചു കീശയിൽ തുട്ട് വീഴുന്നത് ഇവർക്ക് ആണെങ്കിൽ അതിന്റെ ഏതെങ്കിലും മോഷവശം ഇവർ പറയുമോ? ഇരിക്കുന്ന കൊമ്പ് അറിഞ്ഞോണ്ട് ആരേലും മുറിക്കുമോ? 🙄,1
Allahuuu akbarr😢,1
Palte.  Mahtunu.,0
"ഉറപ്പാണ് കോവിഡ്, ഒമിക്രോൺ വരും എല്ലാം ശരിയാവും😂 ലാൽ സലാം, നിഷാന്തളിയാ അവതരണം as ushual കലക്കി",1
എല്ലാം  വരുടെയും  പ്രാത്ഥന മൂലം  ആണ്,0
ശജഹാൻ ചേട്ടൻ ഒരു ബിഗ് സല്യൂട്ട് 💪💪ഇങ്ങനെ വേണം സത്യം പറയാൻ ഇതാവണം ഒരു മാധ്യമ പ്രവർക്കാൻ 👌👍👍,0
ഇതു ബ്ലാക്ക്മാൻ വന്ന പോലെ ആയി. അവിടെ കണ്ടു ഇവിടെ കണ്ടു എന്ന പോലെ,1
മണ്ടന്മാരായ ഡോക്ടർമാർ പറയുന്നത് മാത്രം വിശ്വസിക്കാൻ വിഡ്ഢിയല്ല ജേക്കബ്ബ് സാറ് .,0
ഈ പാട്ടുകേട്ടിരിക്കാൻ അപാര തൊലിക്കട്ടിതന്നെ വേണം 🤣🤣🤣,1
നഷ്ടപരിഹാരം എല്ലാ രാജ്യങ്ങൾക്കും കൊടുക്കുന്നില്ല എങ്കിൽ അക്രമിച്ചു നശിപ്പിക്കണം,0
"Communists 😜 have to wear mask , why to enjoy monkey 🐵 faces?",1
എന്തൊരു ദുരന്തമാണ് 🤦🏽‍♂️,1
ചൈനയുടെ കയ്യിൽ കോറോണയുടെ ante-dote ഉണ്ട്. <br>ചൈനയിലുള്ള മുസ്ലീംസിനെയാണ്‌ ഇന്ത്യയിൽ ഇതു പ്രചരിപ്പിക്കുന്നതിനായി വിട്ടിട്ടുള്ളത്.  ജിഹാദികളുമായി ചേർന്നാണ് ഓപ്പറേഷൻ.  ഈയിടെ ബീഹാറിൽ നിന്നും പിടിക്കപ്പെട്ട 20 ചൈനീസ് മുസ്ലിംസും കൊറോണ infected ആണ്. <br>കൂടാതെ തമിഴ് നാട്ടിലെ അമ്പുരിൽ പിടിച്ചവരിലും corona infected ചൈനക്കാർ ഉണ്ടായിരുന്നു. <br>Patnayil പിടിച്ചവരും ചൈനക്കാരും മലേഷ്യക്കാരും ആണ്. <br>അവരിലും corona infected ഉണ്ടായിരുന്നു. <br>അതിന്റെ അർത്ഥം ചൈന ജിഹാദികളെ കൂട്ടി നമ്മളെ നശിപ്പിക്കാൻ ശ്രമിക്കുന്നു എന്നുള്ളതാണ്. <br>എന്തിനു മോദിജി lockin പ്രഖ്യാപിച്ചില്ലായിരുന്നെങ്കിൽ ഒരു പക്ഷെ കേരളം തന്നെ തകർന്നേനെ. <br>ഇവരുടെ ആരാധനാലയങ്ങൾ പരിശോധിച്ചാൽ ഇവിടെയും അവർ എത്തിയിട്ടുണ്ടാകാം. അതുകൊണ്ടാണല്ലോ രണ്ടു ജില്ലകളിൽ അപകടവസ്ഥ. <br><br>കൂടാതെ ഡൽഹി പ്രക്ഷോപണത്തോടുകൂടി അവിടെ പെട്ടുപോയ ജിഹാദി നേതാക്കന്മാരെ പുറത്തു കടത്താൻ പറ്റാത്ത സാഹചര്യമാണ്.  അതിനു ഭീകരത സൃഷ്ടിച്ചേ  പറ്റൂ.  അതിനു വേണ്ടിയാണു ലൈറ്റും വെള്ളവും cut ചെയ്തു തൊഴിലാളികളെ പലായനം ചെയ്യിക്കുന്നത്.  കൂട്ടത്തിൽ അവർക്കും രക്ഷ പെടാമല്ലോ !,0
"മണ്ടൻ  ശുപ്പാണ്ടി വിജയൻ, തിരുമണ്ടന്മാരായ മലയാളികളെ ഭരിക്കുന്നു",1
മൊഴി മുത്തുകളായ വരികൾ😂😂,1
Super  super  Thiruvathira  kali  .,1
"Russia had acted proactive to quarantine all  foreign country visitors in separate building  for a safe period thus created a firewall. Where as in India travellers were allowed for  self quarantine, which was bad decision lead to the  current mess including Kerala",0
അമേരിക്കയെ തെറിവിളിച്ച് വർക്ക് സമർപ്പിക്കുന്നു....<br>ഇതുതന്നെയാണ് ട്രംപ് ആദ്യം പറഞ്ഞത്,0
ചൈനയിലെ മരണ സംഖ്യ യൂറോ പ്പിനെ ക്കാൾ വലുതാണ്,0
"Coronaykku nammude pathanjali maman valla, marunno kashayamo kandethikanum",0
തബ്ലീഗ് no മിസ്റ്റേക്ക് ഗവണ്മെന്റ് മിസ്റ്റേക്ക്. ഗവണ്മെന്റ് പെർമിഷൻ കൊടുത്തു.,0
പറഞ്ഞത് പോലെ സംഭവിക്കട്ടേ... ലോകത്തില്‍ വീണ്ടും സമാധാനം പുലരട്ടേ...,0
Ede sagavu  endina epo America poyadu keralitil hospital elle,0
Ezhuthachanu. Ninnum. Kidannum. Patham.,1
