News,predictions
കേരളത്തില്‍ പുരുഷന്മാര്‍ക്ക് രണ്ട് ഭാര്യമാര്‍ നിര്‍ബന്ധമാക്കി,1
പാർട്ടിയുടെ കൊടിക്ക് മഹത്വം ഉണ്ടെന്നും സംരംഭങ്ങളുടെ മുന്നിൽ നാട്ടാനുള്ളതല്ലെന്നും അതെന്നും പി രാജീവ്,0
നവകേരള സദസ്സ്: കാട്ടാക്കട ക്രിസ്ത്യൻ കോളേജ് കവാടവും പൊളിക്കും,3
ശബരിമലയില്‍ അയ്യപ്പ ഭക്തന്‍റെ തല പോലീസ് അടിച്ചുപൊട്ടിച്ചു,2
ബൈക്കുകള്‍ സ്വന്തം ജില്ലയില്‍ മാത്രം ഉപയോഗിക്കാനുള്ള നിയമം വരുന്നു,0
സംസ്ഥാനത്ത് വീടുകളിലെ കിണറുകള്‍ക്ക് കരം ഈടാക്കാന്‍ സംസ്ഥാന സര്‍ക്കാര്‍ തീരുമാനിച്ചു,2
ഇന്ത്യയിലെ മുസ്ലിങ്ങള്‍ യഥാര്‍ത്ഥ മുസ്ലിങ്ങളല്ലെന്ന് ഖത്തര്‍ ഭരണാധികാരി,0
കോട്ടക്കല്‍ നഗരസഭ മുന്‍അദ്ധ്യക്ഷ മുഹ്സിന പൂവന്‍മഠത്തില്‍ മുസ്ലിം ലീഗ് ഉപേക്ഷിച്ച് സി‌പി‌എമ്മില്‍ ചേര്‍ന്നു,2
വെല്‍ഫെയര്‍ പാര്‍ട്ടി പാലസ്തീന്‍ അനുകൂല പ്രകടനത്തില്‍ ഇറ്റലി പതാക ഉപയോഗിച്ചു,0
ഓറിയോ ബിസ്ക്കറ്റ് മുസ്ലിങ്ങള്‍ക്ക് നിഷിദ്ധമാണെന്ന് കമ്പനി ഔദ്യോഗികമായി പ്രഖ്യാപിച്ചു. കാരണം അവ പന്നി ഇറച്ചി പന്നി പാല്‍ എന്നിവ ഉപയോഗിച്ചാണ് നിര്‍മ്മിച്ചിരിക്കുന്നത്. അതിനാല്‍ നിങ്ങളുടെ സുഹൃത്തുകളെ ഷെയര്‍ ചെയ്ത് അറിയിക്കുക,0
